[14-Jul-2025 11:09:11 UTC] PHP Warning:  PHP Startup: Invalid date.timezone value 'UTC ', using 'UTC' instead in Unknown on line 0
[14-Jul-2025 16:49:34 Asia/Kolkata] PHP Deprecated:  Laravel\Sanctum\HasApiTokens::createToken(): Implicitly marking parameter $expiresAt as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravel\sanctum\src\HasApiTokens.php on line 46
[14-Jul-2025 16:49:34 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasRole(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 186
[14-Jul-2025 16:49:34 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasAllRoles(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 243
[14-Jul-2025 16:49:34 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasExactRoles(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 277
[14-Jul-2025 17:29:10 Asia/Kolkata] PHP Deprecated:  Collective\Html\FormBuilder::__construct(): Implicitly marking parameter $request as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravelcollective\html\src\FormBuilder.php on line 119
[14-Jul-2025 17:29:10 Asia/Kolkata] PHP Deprecated:  Collective\Html\HtmlBuilder::__construct(): Implicitly marking parameter $url as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravelcollective\html\src\HtmlBuilder.php on line 38
[14-Jul-2025 12:36:35 UTC] PHP Warning:  PHP Startup: Invalid date.timezone value 'UTC ', using 'UTC' instead in Unknown on line 0
[14-Jul-2025 18:06:40 Asia/Kolkata] PHP Deprecated:  Laravel\Sanctum\HasApiTokens::createToken(): Implicitly marking parameter $expiresAt as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravel\sanctum\src\HasApiTokens.php on line 46
[14-Jul-2025 18:06:40 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasRole(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 186
[14-Jul-2025 18:06:40 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasAllRoles(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 243
[14-Jul-2025 18:06:40 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasExactRoles(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 277
[14-Jul-2025 18:06:41 Asia/Kolkata] PHP Deprecated:  Collective\Html\FormBuilder::__construct(): Implicitly marking parameter $request as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravelcollective\html\src\FormBuilder.php on line 119
